Rule_name,Group,Rule_category,Type,Origin,Rule_enabled,Response,Creation_date,Modification_date,Rule_ID,uuid
Policy: Host has well-known vulnerability,Policy,Custom Rule,EVENT,SYSTEM,false,,2008-08-05T16:26:50.456Z,2019-08-08T19:09:30.426Z,111102,SYSTEM-1178
"Device Stopped Sending Events (Firewall, IPS, VPN or Switch)",System,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2010-08-10T12:44:46.938Z,2019-08-08T19:09:26.067Z,111802,SYSTEM-1527
Detected A Known Process Started With A New Unseen Hash,Sysmon,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2017-08-17T18:55:51.110Z,2018-08-09T18:16:25.410Z,112552,2161d44d-179e-4b59-b5de-5bce72bd94ce
Process Baselining: Process Started with a System User Privileges,Sysmon,Custom Rule,EVENT,SYSTEM,false,Add to a Reference Set,2017-08-19T18:58:26.130Z,2018-08-09T18:16:24.530Z,112702,a1be7bdc-0a7f-4f62-897a-58769874b12c
Detected a New Unseen Process Started with a System User Privileges,Sysmon,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2017-08-19T19:02:53.920Z,2018-08-09T18:16:23.120Z,112852,64095b80-5bd0-42a6-b43c-345a29cf0816
Process Baselining: Process Name to Parent Process,Sysmon,Custom Rule,EVENT,SYSTEM,false,"Add to a Reference Set, Add to a Reference Map Of Sets",2017-08-18T11:49:24.520Z,2018-08-09T18:16:24.690Z,113702,19dc225d-5dae-4627-98e4-9917c553aef6
Process Baselining: Process Hash,Sysmon,Custom Rule,EVENT,SYSTEM,false,Add to a Reference Set,2018-06-19T15:47:22.000Z,2018-08-09T18:16:22.290Z,113752,20a91164-e663-418a-853a-58dd92c354be
Process Baselining: Process Name,Sysmon,Custom Rule,EVENT,SYSTEM,false,Add to a Reference Set,2018-06-19T15:46:08.640Z,2018-08-09T18:16:23.170Z,113802,d8c68ab3-380e-4e73-a655-e18e604b5b3d
Detected An Unknown / Unseen Process (Based On The Process Hash),Sysmon,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2018-06-19T15:41:14.110Z,2018-08-09T18:16:24.490Z,113852,f559ad0b-ff91-408a-a268-4889c5adbc99
Detected An Unknown / Unseen Process (Based On The Process Name),Sysmon,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2018-06-19T15:35:01.840Z,2018-08-09T18:16:23.890Z,113902,1293ce9c-2da8-489f-8775-1ed3407660ce
Unsigned Executable Loaded Into Sensitive System Process,Sysmon,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2017-08-02T16:46:35.690Z,2018-08-09T18:16:24.790Z,114152,cf3a1b96-79f7-4d14-8309-a2c444768780
Whoami /groups Has Been Executed,Sysmon,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2017-08-26T18:38:45.950Z,2018-08-09T18:16:23.830Z,114252,8b7f8eb4-cc75-4bfd-bdb2-55914abcdd58
Service Binary Path Has Been Updated Followed by a Network Connection From the Same Process,Sysmon,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2017-08-19T19:49:19.180Z,2018-08-09T18:16:24.270Z,114552,37c1b790-7410-4a4f-ab5b-871baf52f8da
Process Baselining: Process Name to Hash,Sysmon,Custom Rule,EVENT,SYSTEM,false,"Add to a Reference Set, Add to a Reference Map Of Sets",2017-08-17T19:11:25.570Z,2018-08-09T18:16:22.960Z,115152,54fe857e-8bed-4d6b-ac50-cc419e6f178f
An Administrative share Has Been Accessed,Sysmon,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2017-09-10T20:10:38.420Z,2018-08-09T18:16:23.790Z,115452,0bc8f6ea-ea80-41ef-a47b-63b6961d7b99
Detected a Long Value in Windows Registry,Sysmon,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2017-09-10T23:26:01.700Z,2018-08-09T18:16:26.060Z,115852,9396ddab-e4f5-41b1-b76c-1f892fd3835d
Powershell Has Been Launched,Sysmon,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2017-09-16T17:49:15.220Z,2018-08-09T18:16:25.740Z,116602,a2d7fbfd-65da-44cd-ac56-112fd9f9fe2a
Excessive Firewall Accepts Between 2 Hosts,Anomaly,Custom Rule,EVENT,USER,false,Dispatch New Event,2018-08-16T12:34:34.610Z,2019-06-28T13:11:06.950Z,117352,1d3f689c-7810-4b32-b27c-8e9a8aa3fbea
Context is Remote to Remote,Magnitude Adjustment,Custom Rule,COMMON,USER,true,,2018-10-22T15:18:45.850Z,2018-10-22T15:19:29.740Z,117402,1e0968a0-1fb7-49f9-a429-6ebe90640e8a
CRE Queue is at 100%,System,Custom Rule,EVENT,USER,true,"Dispatch New Event, Email to soc@base4sec.com, Notify",2018-11-05T17:34:57.280Z,2018-11-05T17:39:35.390Z,117452,91b4490c-62cd-4360-b5c0-9f39b59cc1ea
UBA : Potential Access to Tunneling Domain,User Behavior Analytics,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2018-09-21T20:29:02.610Z,2018-11-05T19:52:12.630Z,117852,d2978678-9d64-4cb4-97b0-5d3e5b350428
Abnormal Parent for a System Process,Sysmon,Custom Rule,EVENT,OVERRIDE,false,Dispatch New Event,2018-12-04T13:39:18.770Z,2018-12-04T13:39:18.770Z,118252,8d5cba3a-8912-4660-a902-16e3463aacb5
Detected Abnormal Parent for a Process,Sysmon,Custom Rule,EVENT,OVERRIDE,false,Dispatch New Event,2019-02-12T18:24:13.590Z,2019-02-12T18:24:13.590Z,118302,ad576de0-2a60-4bde-bb5e-baa3b0f25b32
Communication with a web site that has been involved in previous SQL injection,Threats,Custom Rule,FLOW,SYSTEM,false,Dispatch New Event,2010-07-09T19:26:48.969Z,2019-03-01T18:35:20.790Z,119752,SYSTEM-1534
Communication with a web site known to aid in distribution of malware,Threats,Custom Rule,FLOW,SYSTEM,false,Dispatch New Event,2010-07-09T18:46:05.450Z,2019-03-01T18:35:19.870Z,119852,SYSTEM-1528
Communication with a web site known to be a phishing or fraud site,Threats,Custom Rule,FLOW,SYSTEM,false,Dispatch New Event,2010-07-09T19:13:25.817Z,2019-03-01T18:35:20.630Z,119902,SYSTEM-1532
Communication with a web site known to be delivering code which may be a trojan,Threats,Custom Rule,FLOW,SYSTEM,false,Dispatch New Event,2010-07-09T19:06:09.574Z,2019-03-01T18:35:20.670Z,120002,SYSTEM-1531
Local Host Sending Malware,Malware,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2008-08-20T18:03:40.679Z,2019-03-01T18:35:17.780Z,120102,SYSTEM-1340
Connection to a Remote Proxy or Anonymization Service (Inbound),Threats,Custom Rule,FLOW,SYSTEM,false,Dispatch New Event,2010-10-01T14:39:31.001Z,2019-03-01T18:35:17.610Z,120252,SYSTEM-1575
Remote: IM/Chat,"Compliance, Threats",Custom Rule,FLOW,SYSTEM,false,Dispatch New Event,2010-04-14T17:39:09.310Z,2019-03-01T18:35:20.450Z,120402,SYSTEM-1096
Remote: Local P2P Client Detected,"Compliance, Threats",Custom Rule,FLOW,SYSTEM,false,Dispatch New Event,2010-06-29T19:44:54.247Z,2019-03-01T18:35:21.320Z,120652,SYSTEM-1505
Remote: Local P2P Server Detected,"Compliance, Threats",Custom Rule,FLOW,SYSTEM,false,Dispatch New Event,2010-04-14T17:47:16.201Z,2019-03-01T18:35:19.970Z,120752,SYSTEM-1099
X-Force Premium: Internal Host Communicating with Botnet Command and Control URL,Threats,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2014-09-09T13:25:30.120Z,2019-03-01T18:35:18.940Z,121202,1aa20482-bfe1-4fa0-8644-41a194f48f86
X-Force Premium: Non-Servers Communicating with External IP Classified as Dynamic,Threats,Custom Rule,COMMON,SYSTEM,false,Dispatch New Event,2014-08-21T14:01:06.490Z,2019-03-01T18:35:16.790Z,121252,1de60698-201d-4b0f-b2a7-c248ec6aa4e8
X-Force Premium: Non-Mail Server Sending Mail to Servers Categorized as SPAM,Threats,Custom Rule,COMMON,SYSTEM,false,Dispatch New Event,2014-08-19T15:13:07.160Z,2019-03-01T18:35:17.480Z,121302,50682d28-e152-487c-b73e-8ed284c80bcb
X-Force Premium: Servers Communicating with External IP Classified as Dynamic,Threats,Custom Rule,COMMON,SYSTEM,false,Dispatch New Event,2014-08-21T15:53:59.280Z,2019-03-01T18:35:22.890Z,121402,5bd23f66-b5c3-46fc-bc37-3298b2b9a1f0
X-Force Premium: Internal Hosts Communicating with Host Categorized as Anonymizers,Threats,Custom Rule,COMMON,SYSTEM,false,Dispatch New Event,2014-08-19T14:48:11.610Z,2019-03-01T18:35:22.280Z,121452,63540699-5608-44b5-aeae-549dc31cfca1
X-Force Premium: Internal Connection to Host Categorized as Malware,Threats,Custom Rule,COMMON,SYSTEM,false,Dispatch New Event,2014-08-19T14:40:27.130Z,2019-03-01T18:35:17.530Z,121502,6ecf13f9-0dcd-4c1e-a350-66a6bb553644
X-Force Premium: Mail Server Sending Mail to Servers Categorized as SPAM,Threats,Custom Rule,COMMON,SYSTEM,false,Dispatch New Event,2014-08-19T15:09:59.730Z,2019-03-01T18:35:16.870Z,121552,efd63166-caf5-468d-a575-ad0dc70d27ee
Chained Exploit Followed by Suspicious Events on Third Host,Group ID: 100051,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2018-06-18T18:33:01.290Z,2019-03-01T18:35:18.890Z,121602,156da507-e940-4fa4-a796-15195476078e
System: Notification,System,Custom Rule,EVENT,OVERRIDE,true,"Email to soc_alerts@base4sec.com, Notify",2019-03-28T16:05:44.700Z,2020-04-08T20:19:28.268Z,122002,2b3e8324-50c7-4076-933b-f8fa935fa88d
Excessive Firewall Denies from Remote Host,Recon,Custom Rule,EVENT,OVERRIDE,false,Dispatch New Event,2019-04-24T13:58:00.240Z,2019-04-24T13:58:00.240Z,122054,d8631efb-04c9-46c7-91df-a7f046529158
Threats: Multiple Non-Blocked IPS signatures targeting a single Destination IP,"Produccion, Tenaris, NSM - IPS, Arcor, Fravega, MediaMonk, Nacion Servicios, Techint",Custom Rule,EVENT,USER,true,Dispatch New Event,2019-04-24T17:46:11.420Z,2022-03-11T16:27:57.434Z,122055,df78c3fa-93bc-4ece-b9bb-647fb2cfea40
Threats: Multiple Non-Blocked IPS signatures from a single Source IP,"Produccion, Tenaris, NSM - IPS, Arcor, Fravega, MediaMonk, Nacion Servicios, Techint",Custom Rule,EVENT,USER,true,Dispatch New Event,2019-04-24T17:53:03.690Z,2022-03-18T20:10:13.112Z,122056,ccea7b64-f04a-4f91-835c-a6f522f99f09
Test Checkpoint SEDE x Source IP,"Anomaly, User Tuning",Anomaly Detection Rule,THRESHOLD,USER,false,Dispatch New Event,2019-05-31T02:52:22.080Z,2019-07-22T20:55:08.863Z,122069,026c9fec-c740-4e05-a0c5-5443612c4b2f
Tenaris: Ransomware behavior from IPS Signature detection,Ransomware,Custom Rule,EVENT,USER,false,Dispatch New Event,2019-07-12T14:47:50.370Z,2019-07-18T14:14:10.740Z,122104,86d87d03-1536-4c78-8f66-8ed6afa528ca
AQL test,,Custom Rule,EVENT,USER,false,Dispatch New Event,2019-07-23T02:48:33.513Z,2019-07-24T02:05:35.876Z,122202,3f5e6fb3-930e-475c-a571-9dde17530efa
Usuario 60030123 seguimiento AVISAR A DIEGO ARIAS si salta,User Behavior Analytics,Custom Rule,EVENT,USER,false,"Dispatch New Event, Email to soc@base4sec.com",2019-07-31T19:53:54.849Z,2019-10-02T17:07:01.754Z,122205,4e7774cf-7cb8-4a69-9c2b-69a2f354a6a2
AWS Cloud: S3 Bucket has been created,Amazon AWS,Custom Rule,EVENT,SYSTEM,false,,2017-10-19T14:30:11.340Z,2020-06-10T14:37:17.975Z,122402,286a4ae8-e1ad-43d6-88b4-72036b5c9146
AWS Cloud: Group has been Created or Deleted,Amazon AWS,Custom Rule,EVENT,SYSTEM,false,,2017-11-30T15:54:34.370Z,2020-06-10T14:37:16.968Z,122652,491567d1-7438-4b42-8457-52155168bb70
AWS Cloud: S3 Bucket has been deleted,Amazon AWS,Custom Rule,EVENT,SYSTEM,false,,2017-10-19T14:31:06.890Z,2020-06-10T14:37:17.733Z,122752,eb7d03a9-5bb0-4ca3-9c7e-01abeca3ac19
AWS Cloud: User Profile Updated,Amazon AWS,Custom Rule,EVENT,SYSTEM,false,,2017-11-30T15:51:42.740Z,2020-06-10T14:37:16.479Z,122852,a0d99046-59fc-4aa4-99c3-59529c6daa6d
AWS Cloud: Routing Table Changes,Amazon AWS,Custom Rule,EVENT,SYSTEM,false,,2017-11-30T16:08:35.940Z,2020-06-10T14:37:17.237Z,122902,accaf236-20f8-4b96-b9a5-8e977dce6e4e
AWS Cloud: A Signing Certificate Has Been Removed,Amazon AWS,Custom Rule,EVENT,SYSTEM,false,,2017-11-30T16:15:08.710Z,2020-06-10T14:37:17.441Z,123102,a5e8e95c-adcb-482d-a2f5-20a6adf01e92
AWS Cloud: Password Policy Updated,Amazon AWS,Custom Rule,EVENT,SYSTEM,false,,2017-11-30T15:58:01.800Z,2020-06-10T14:37:17.390Z,123152,d4e84ce8-70ff-4263-8699-9de49b2db65e
AWS Cloud: S3 Bucket Policy changes,Amazon AWS,Custom Rule,EVENT,SYSTEM,false,,2017-10-19T16:46:55.750Z,2020-06-10T14:37:16.902Z,123252,e1eaa211-bfa2-43b2-8164-6692bcbf24f9
AWS Cloud: Critical EC2 Instance Has Been Stopped OR Terminated,Amazon AWS,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2017-10-19T19:20:37.860Z,2020-06-10T14:37:17.162Z,123302,b6e4f859-ca48-4ef7-9ae8-02d409123473
AWS Cloud: An EC2 Instance Has Been Created In A Non-Standard VPC or without VPC,Amazon AWS,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2017-11-29T18:39:59.780Z,2020-06-10T14:37:17.816Z,123352,2c17749f-7f02-484f-9cc7-663e6fa1852d
AWS Cloud: Key Pair Management configuration changes,Amazon AWS,Custom Rule,EVENT,SYSTEM,false,,2017-10-23T19:21:27.090Z,2020-06-10T14:37:18.220Z,123402,2ad44560-634a-47da-8406-03588dbb22e4
AWS Cloud: User added to a Group with Admin Role Capability,Amazon AWS,Custom Rule,EVENT,SYSTEM,false,,2017-12-01T15:16:12.010Z,2020-06-10T14:37:16.240Z,123452,3197cc4d-2feb-4399-8cc8-f705ee71d2be
AWS Cloud: User who has no admin rights accesses an Admin Role,Amazon AWS,Custom Rule,EVENT,SYSTEM,false,,2017-11-29T20:09:55.800Z,2020-06-10T14:37:17.622Z,123502,99ba26d6-d63a-41eb-b436-c9c82582daf8
AWS Cloud: An EC2 Instance Has Been Created From A Non-Standard Amazon Machine Image (AMI),Amazon AWS,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2017-11-29T18:42:09.550Z,2020-06-10T14:37:17.577Z,123602,ad272a34-30d5-4776-8b60-378542dc46fc
AWS Cloud: Network ACL Changes,Amazon AWS,Custom Rule,EVENT,SYSTEM,false,,2017-10-19T18:28:52.720Z,2020-06-10T14:37:17.669Z,123652,0f6b7558-6264-42e8-898a-62c1e91a4a4b
AWS Cloud: Network Gateway Changes,Amazon AWS,Custom Rule,EVENT,SYSTEM,false,,2017-10-19T19:03:24.600Z,2020-06-10T14:37:17.097Z,123702,8c08149a-a3ae-49ef-9339-f1556f85849a
AWS Cloud: S3 Bucket accessed by Non-Standard User,Amazon AWS,Custom Rule,EVENT,SYSTEM,false,,2017-10-23T13:37:37.860Z,2020-06-10T14:37:16.554Z,123752,ec8c20ca-9aa5-42a4-98c9-a902f0063b3a
System and Service Changed,Windows Security Monitor Basic,Custom Rule,EVENT,USER,true,,2016-08-29T09:11:46.670Z,2019-08-08T15:25:09.537Z,123802,91f5a43c-0605-4f36-ab63-53f9b7573484
System and Service Errors,Windows Security Monitor Basic,Custom Rule,EVENT,USER,true,,2016-08-29T09:22:04.240Z,2019-08-08T15:25:09.316Z,123852,ef85b195-1689-4c4c-a09a-5136739e2de0
User Authentication,Windows Security Monitor Basic,Custom Rule,EVENT,USER,true,,2016-08-29T09:50:00.140Z,2019-08-08T15:25:09.582Z,123902,4ea81b01-d3f4-41cd-b5a5-e99f301df86b
User Management,Windows Security Monitor Basic,Custom Rule,EVENT,USER,true,,2016-08-29T10:45:36.210Z,2019-08-08T15:25:09.458Z,123952,625f337e-ab9d-489b-87f1-30a1f9028d8a
Windows Brute Force Logon,Windows Security Monitor Basic,Custom Rule,EVENT,USER,true,,2016-08-29T10:18:35.550Z,2019-08-08T15:25:09.237Z,124002,3e2157ff-468e-47fc-85be-f8fd6363ae0e
Windows Domain Brute Force Logon,Windows Security Monitor Basic,Custom Rule,EVENT,USER,false,,2016-08-29T10:24:13.800Z,2022-03-08T18:27:02.796Z,124052,51532970-f29d-4d94-bff8-2fd2f5fecbf5
DMZ Reverse Tunnel,"Group ID: 100048, Group ID: 100049",Custom Rule,COMMON,SYSTEM,false,Dispatch New Event,2008-08-20T18:42:05.871Z,2019-08-08T19:37:29.238Z,124452,SYSTEM-1461
Remote Access from Foreign Country/Region,"Anomaly, Compliance",Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2006-06-28T09:41:10.776Z,2019-08-08T19:37:28.333Z,124552,SYSTEM-1410
Remote Inbound Communication from a Foreign Country/Region,"Anomaly, Compliance",Custom Rule,FLOW,SYSTEM,false,Dispatch New Event,2010-04-22T13:46:58.534Z,2019-08-08T19:37:29.154Z,124652,SYSTEM-1471
Single IP with Multiple MAC Addresses,Anomaly,Custom Rule,EVENT,SYSTEM,false,,2008-08-05T14:01:16.482Z,2019-08-08T19:37:29.408Z,124702,SYSTEM-1335
